ItemID,Status,ItemName,HELPER COLUMN
,,,
HI-000001,Active,Music Desk Skirt,
HI-000002,Active,Music Desk Tablecloth,
HI-000003,Active,Music Desk Skirt Clips,
HI-000004,Inactive,Exit Sign Cover,
HI-000005,Active,Dimmer Lights in cardboard boxes,
HI-000006,Active,Dimmer Control Box,
HI-000139,Active,Dimmer Globes Dimable LED 42 Watt ,
HI-000140,Active,CABLES BOX:,
HI-000008,Active,25 Mtr Male to Female XLR Mic and Speaker Cable,
HI-000010,Active,Audiohub Digital Audio Interface Unit,
HI-000011,Active,Power Supply,
HI-000012,Active,USB A to USB B Cable,
HI-000013,Active,Power Board Black 8 Socket ,
HI-000014,Active,Piggy back Black Extension Cable 2 Mtr ,
HI-000015,Active,Piggy back Black Extension Cable 5 Mtr ,
HI-000016,Active,IEC 13 Speaker Power Cables D Shaped Plug 2 Mtr,
HI-000184,Active,IEC 13 Speaker Power Cables D Shaped Plug 1 Mtr,
HI-000017,Active,2 Mtr Male XLR to TS 6.5mm Jack,
HI-000192,Active,Assorted Cable Adaptors,
HI-000018,Active,Organiser Container Grey and Yellow,
HI-000019,Active,Auxiliary Input Cable with iPhone Lightening Adaptor,
HI-000020,Active,Auxiliary Input Cable with 3.5mm Male Jack,
HI-000021,Active,AA Batteries Per Box 24,
HI-000022,Active,AAA Batteries Per Box 24,
HI-000023,Active,Dolphin Torch Batteries,
HI-000024,Active,RODE NT5,
HI-000026,Active,Cabled Keyboard,
HI-000027,Active,Cabled Mouse,
HI-000028,Active,Headphones Sennheiser HD280 Pro,
HI-000161,Active,Headphones Sennheiser HD300,
HI-000029,Active,3.5mm Socket to TRS 6.5mm Jack Adaptor,
HI-000030,Active,Real Office Social Media Box:,
HI-000031,Active,iPhone 12,
HI-000032,Active,USB A to Lightening Apple iPhone Cable,
HI-000033,Active,240 Volt to USB A Charger,
HI-000034,Active,Lightening Double Adapter Apple iPhone ,
HI-000035,Active,3.5mm Audio Socket Cable,
HI-000036,Active,RODE Go Microphone Transmitter Receiver Kit,
HI-000037,Active,RODE Lapel MIC,
HI-000038,Active,USB A USB C Charging Cables Black,
