RowID,ItemID,BoxNumber,ItemName,StorageLocation,EventTags,Description,SpecificItemNotesForCrew,QtyReqd,StockOnHand,CountConfirmed,OrderQty,RestockComments
1,,AV 1,,OFFICE,|RCP||RLD|,Music Desk Skirt,,1,1,,,
2,,OFFICE,,OFFICE,|RCP||RLD|,Music Desk Tablecloth,,1,1,,,
3,,OFFICE,,OFFICE,|RCP||RLD|,Music Desk Skirt Clips,,12,12,,,
4,,LOOSE,,UNKNOWN,|INACTIVE|,Exit Sign Cover,,1,1,,,
5,,AV 2,,CONTAINER,|INACTIVE|,Dimmer Lights (in cardboard boxes),,4,4,,,
6,,AV 2,,CONTAINER,|INACTIVE|,Dimmer Control Box,,1,1,,,
7,,AV 2,,CONTAINER,|INACTIVE|,Spare Dimmer Globes - Bayonette 42W Dimmable,,6,6,,,
8,,AV 3,,MARQUEE,|NEEDED|,CABLES BOX:,,1,1,,,
9,,AV 3,,MARQUEE,|NEEDED|,Speaker Cable,,2,2,,,
10,,AV 3,,MARQUEE,|NEEDED|,Microphone Cable,,1,1,,,
11,,AV 3,,MARQUEE,|NEEDED|,HARD BLACK PLASTIC Audiohub Box:,,1,1,,,
12,,AV 3,,MARQUEE,|NEEDED|,Audiohub Digital Audio Sound Card,,1,1,,,
13,,AV 3,,MARQUEE,|NEEDED|,Audiohub Power Supply Output 12Volt 2A,,1,1,,,
14,,AV 3,,MARQUEE,|NEEDED|,USB-A to USB-B Cable,,1,1,,,
15,,AV 3,,MARQUEE,|NEEDED|,POWER BOARD: (8-Socket/Black),,1,1,,,
16,,AV 3,,MARQUEE,|NEEDED|,2 Mtr Piggy-back (Black) Extension Cable,,1,1,,,
17,,AV 3,,MARQUEE,|NEEDED|,5 Mtr Piggy-back (Black) Extension Cable,,1,1,,,
18,,AV 3,,MARQUEE,|NEEDED|,IEC-13 Speaker Power Cables (D-Shaped Plug),,2,2,,,
19,,AV 3,,MARQUEE,|NEEDED|,2 Mtr Male XLR to TS 6.5mm Jack,AUDIOHUB TO MIXER CABLES:,2,2,,,
20,,AV 3,,MARQUEE,|NEEDED|,Organiser Container (Grey/Yellow w. Semi-clear Lid):,,1,1,,,
21,,AV 3,,MARQUEE,|NEEDED|,Miscellaneous Adapters,,,,,,
22,,AV 3,,MARQUEE,|NEEDED|,3.5mm Jack to 2x 6.5mm TS Jack (with Lightning to 3.5mm socket adapter),Auxiliary Input Cable (Option 1):,1,1,,,
23,,AV 3,,MARQUEE,|NEEDED|,3.5mm Jack to RCA (Red/White),Auxiliary Input Cable (Option 2):,1,1,,,
24,,AV 3,,MARQUEE,|NEEDED|,Box AA Batteries (each box = 24 batt),Clear Plastic Clip-lock Box:,2,2,,,
25,,AV 3,,MARQUEE,|NEEDED|,AAA Batteries,Clear Plastic Clip-lock Box:,12,12,,,
26,,LOOSE,,MARQUEE,|NEEDED|,RODE NT5 Microphone (cardboard box),ROOM MICROPHONE:,1,1,,,
27,,AV 3,,MARQUEE,|NEEDED|,Gaffa Tape Black,,2,2,,,
28,,AV 4,,MARQUEE,|NEEDED|,Cabled Keyboard,,1,1,,,
29,,AV 4,,MARQUEE,|NEEDED|,Cabled Mouse,,1,1,,,
30,,AV 4,,MARQUEE,|NEEDED|,Headphones Sennheiser HD280 Pro,,1,1,,,
31,,AV 4,,MARQUEE,|NEEDED|,Headphones Sennheiser HD300,,2,1,,,
32,,AV 4,,MARQUEE,|NEEDED|,3.5mm Socket to TRS 6.5mm Jack Adaptors,1 attached to Headphones / 1 left in Audiohub,2,2,,,
33,,AV 15,,MARQUEE,|NEEDED|,Real Office Social Media Box:,,1,1,,,
34,,AV 15,,MARQUEE,|NEEDED|,REAL Video iPhone Previous Recordings COPIED then Cleared,,1,1,,,
35,,AV 15,,MARQUEE,|NEEDED|,iPhone Lightening to USB 'A' Cable,For iPhone 12 - Charge / Data Transfer Cable,1,1,,,
36,,AV 15,,MARQUEE,|NEEDED|,iPhone Charger 240Volt Wall Plug to USB 'A',,1,1,,,
37,,AV 15,,MARQUEE,|NEEDED|,Lightening Double Adapter (Apple / iPhone) ,with 3.5mm Audio Socket Cable Plugged in,1,1,,,
38,,AV 15,,MARQUEE,|NEEDED|,3.5mm audio socket cable,(plugged into adapter),1,1,,,
39,,AV 15,,MARQUEE,|NEEDED|,RODE Go Microphone Transmitter/Receiver Kits,,2,2,,,
40,,AV 15,,MARQUEE,|NEEDED|,RODE Lapel MIC Kit - Lapel Mic with Cable and Fur Wind Cover IN Black Satchel),,1,1,,,
41,,AV 15,,MARQUEE,|NEEDED|,RODE USB 'A' USB 'C' Charging Cables (Black),,4,4,,,
42,,AV 15,,MARQUEE,|NEEDED|,Gorillapod Kit,,1,1,,,
43,,AV 15,,MARQUEE,|NEEDED|,USB-Powered Music Desk Light,,1,1,,,
44,,AV 15,,MARQUEE,|NEEDED|,iPad,,1,1,,,
45,,AV 15,,MARQUEE,|NEEDED|,Camera Tripod,,1,1,,,
46,,AV 4,,MARQUEE,|NEEDED|,HARD BLACK PLASTIC Soundblaster Box:,,1,1,,,
47,,AV 4,,MARQUEE,|NEEDED|,Soundblaster External Sound Cards,,2,2,,,
48,,AV 4,,MARQUEE,|NEEDED|,USB 'A' to USB 'Micro' (1 x coiled + 1 x straight),,2,2,,,
49,,AV 4,,MARQUEE,|NEEDED|,6.5mm Jack to Jack 2 Mtr Cable (With 6.5mm to 3.5mm Adaptor),,1,1,,,
50,,AV 4,,MARQUEE,|NEEDED|,10 Mtr RCA to RCA, With 2 x TS 6.5mm Jack Adapters,1,1,,,
51,,AV 4,,MARQUEE,|NEEDED|,Bluetooth Slideshow Presenter Incl Dongle stored in end,AAA BATTERIES SEPARATE & REMOVED between events,1,1,,,
52,,AV 4,,MARQUEE,|NEEDED|,AAA Batteries,,2,2,,,
53,,AV 4,,MARQUEE,|NEEDED|,5 Mtr Extension Cable (for TV),,1,1,,,
54,,AV 4,,MARQUEE,|NEEDED|,1.5 Mtr HDMI Cable,,1,1,,,
55,,AV 4,,MARQUEE,|NEEDED|,15 Mtr HDMI Cable,,1,1,,,
56,,AV 4,,MARQUEE,|NEEDED|,TV Remote,,1,1,,,
57,,AV 4,,MARQUEE,|NEEDED|,TV Power Cable in with Screw Driver in Zip Lock Bag for TV,,1,1,,,
58,,AV 4,,MARQUEE,|NEEDED|,Phillips Head Screw Driver + 4 Screws in Zip Lock Bag for TV,,8,8,,,
59,,AV 4,,MARQUEE,|NEEDED|,Small plastic Component of TV Stand,,1,1,,,
60,,AV 4,,MARQUEE,|NEEDED|,Samsung TV Stand 'Y' Shaped Legs,,1,1,,,
61,,AV 4,,MARQUEE,|NEEDED|,Wireless HDMI Transmitter Reciever Sets With 2 Power supplies in each,,2,2,,,
62,,AV 16,,Trailer,|NEEDED|,TV STAND,,,,,,
63,,AV 16,,Trailer,|NEEDED|,TV Stand Cover (Black Sheet),,1,1,,,
64,,AV 16,,Trailer,|NEEDED|,Black Plastic Fold Up Boxes,,3,3,,,
65,,AV 16,,Trailer,|NEEDED|,Timber Slab,,1,1,,,
66,,AV 5,,Trailer,|NEEDED|,"Samsung UHD 50"" with Lge TV Stand",,1,1,,,
67,,AV 6,,Container,|NEEDED|,JBL Amplified Speaker with black protective cover,,1,1,,,
68,,AV 7,,Container,|NEEDED|,JBL Amplified Speaker with black protective cover,,1,1,,,
69,,AV 8,,Container,|NEEDED|,Microphone Box,,,,,,
70,,AV 8,,Container,|NEEDED|,Microphone Receivers,,4,4,,,
71,,AV 8,,Container,|NEEDED|,Handheld MICs,,2,2,,,
72,,AV 8,,Container,|NEEDED|,Headset Transmitter Packs - AA BATTERIES REMOVED,,2,2,,,
73,,AV 8,,Container,|NEEDED|,Clear boxes with headset mic replacement components,,2,2,,,
74,,AV 8,,Container,|NEEDED|,Standard - Headset Microphone Original Thin Wire Style.,,,,,,
75,,AV 8,,Container,|NEEDED|,Cardioid - Headset Microphone Black Plastic Frame Style,,,,,,
76,,AV 8,,Container,|NEEDED|,Cardioid - Lapel Microphone,,,,,,
77,,AV 9,,Container,|NEEDED|,Zoom Live Track L20 Mixer (packed with Power & USB-A to USB-B cables),,1,1,,,
78,,LEADERSHIP BOX,,Leadership Box,|NEEDED|,Music Run Sheet,,1,1,,,
79,,LEADERSHIP BOX,,Leadership Box,|NEEDED|,Dot Song Selection Lists,,2,2,,,
80,,LEADERSHIP BOX,,Leadership Box,|NEEDED|,BLANK Participant Dot Recording Log,,1,1,,,
81,,AV 3,,MARQUEE,|NEEDED|,240 Volt to IEC 13 Power Cable 2 Mtr ,JBL Speaker Power Lead,1,1,,,
82,,AV 3,,MARQUEE,|NEEDED|,240 Volt to IEC 13 Power Cable 1 Mtr,JBL Speaker Power Lead,1,1,,,
83,,AV 3,,MARQUEE,|NEEDED|,240Volt Extension Lead 2 Mtr (Black),,1,1,,,
84,,AV 3,,MARQUEE,|NEEDED|,6 Socket Power Board (Black),,1,1,,,
85,,AV 3,,MARQUEE,|NEEDED|,4 Socket Switched Power Board (Black),,1,1,,,
