box_key,box_number,box_id,box_label,,
AV1,AV 1,AV 1,Music Desk Coverings,,
AV2,AV 2,AV 2,Dimmer Equipment,,
AV3,AV 3,AV 3,Audio Setup,,
AV4,AV 4,AV 4,Visuals Setup,,
AV5,AV 5,AV 5,TV in BOX,,
AV6,AV 6,AV 6,Speaker,,
AV7,AV 7,AV 7,Speaker,,
AV8,AV 8,AV 8,Microphone Box,,
AV9,AV 9,AV 9,Manufacturer's  BOX,,
AV10,AV 10,AV 10,Miscelaneous Cables,,
AV11,AV11,AV11,Extra Cables - SEMINARS ONLY,,
AV12,AV12,AV12,Music Computer,,
AV13,AV13,AV13,Flood Lights,,
AV14,AV14,AV14,Main Monitor,,
AV15,AV 15,AV15,AV 15,,
AV20,AV20,AV20,Surrender Spot Light ,,
BREEZEWAY,BREEZEWAY,BREEZEWAY,BREEZEWAY,,
CONTAINER,CONTAINER,CONTAINER,CONTAINER,,
CONTAINERSHELVES,CONTAINER SHELVES,CONTAINERSHELVES,CONTAINER SHELVES,,
F1,F1,F1,Black Plastic Crate 01,,
F2,F2,F2,Black Plastic Crate 02,,
F3,F3,F3,20 ltr Drun Opaque,,
F4,F4,F4,25 Ltr Drum Opaque,,
F5,F5,F5,FIRE TEAM STORE,,
F6,F6,F6,Blue Barrel,,
K1,K1,K1,,,
K2,K2,K2,,,
K3,K3,K3,,,
K4,K4,K4,,,
Kitchen - Under Sink,Kitchen - Under Sink,Kitchen - Under Sink,,,
Kitchen - White Cupboard,Kitchen - White Cupboard,Kitchen - White Cupboard,,,
Kitchen - Metal Shelves,Kitchen - Metal Shelves,Kitchen - Metal Shelves,,,
MT1,MT1,MT1,Murrays Props Box,,
MT2,MT2,MT2,Assorted Leathers,,
MT3,MT3,MT3,Assorted Leathers,,
MT4,MT4,MT4,Assorted Glass Candle Holders ,,
MT5,MT5,MT5,Assorted Black and White Calico Off Cuts,,
MT6,MT6,MT6,Black Fitted Sheets,,
MT7,MT7,MT7,Black Curtains Box,,
MT8,MT8,MT8,Medium Mirrors,,
MT9,MT9,MT9,Black Velour Backdrop Curtain,,
MT10,MT10,MT10,Towels,,
MT11,MT11,MT11,Towels,,
MT12,MT12,MT12,OLD Props Assorted,,
MT13,MT13,MT13,OLD Props Assorted,,
MT14,MT14,MT14,White Blind Folds,,
MT15,MT15,MT15,White Sheets,,
MT16,MT16,MT16,White Sheets,,
MT17,MT17,MT17,Black Sheets,,
MT18,MT18,MT18,Brass Bowls & Racks,,
MT19,MT19,MT19,ArchItypes Demo Box,,
MT20,MT20,MT20,Black Ropes(Sweat) ,,
MT21,MT21,MT21,Real Sequence Box,,
MT22,MT22,MT22,Facilitator's Ritual Props (Magic Box),,
MT23,MT23,MT23,Facilitation Large Black Curtain,,
MT24,MT24,MT24,Green Rechargeable Lanterns,,
MT25,MT25,MT25,LED Lights,,
MT26,MT26,MT26,Assorted Bedding,,
MT27,MT27,MT27,Candles,,
MT28,MT28,MT28,Plastic Draws 1,,
MT29,MT29,MT29,Plastic Draws 2,,
MT30,MT30,MT30,Plastic Draws 3,,
MT31,MT31,MT31,Plastic Draws 4,,
MT32,MT32,MT32,Plastic Draws 5,,
MT33,MT33,MT33,Zen Area 2 - White Shelves,,
MT34,MT34,MT34,LOOSE ITEMS,,
MT35,MT35,MT35,LOOSE ITEMS,,
MT36,MT36,MT36,LOOSE ITEMS,,
MT37,MT37,MT37,LOOSE ITEMS,, 
MT38,MT38,MT38,LOOSE ITEMS,,
MT39,MT39,MT39,LOOSE ITEMS,,
MT40,MT40,MT40,LOOSE ITEMS,,
OFFICE,OFFICE,OFFICE,OFFICE,,
PLASTICDRAWERS,PLASTIC DRAWERS,PLASTICDRAWERS,PLASTIC DRAWERS,,
R1,R1,R1,Ritual Gear,,
R2,R2,R2,Buffallo Drums ,,
R3,R3,R3,Light & Shadow,,
R4,R4,R4,Musical Instruments,,
R5,R5,R5,Queen/King Ritual Flares,,
R6,R6,R6,Small Mirrors,,
R7,R7,R7,Boxed Hand-Drums ,,
R8,R8,R8,Big Drum Equipment,,
R9,R9,R9,Timber Pedastal,,
R15,R15,R15,Golden Ball Stands - Gold,,
R16,R16,R16,Illuminated Golden Key Ball,,
R17,R17,R17,Sorbolene Mixing Equipment,,
R18,R18,R18,Mixed Sorbolene Containers,,
R19,R19,R19,Arrow Break Kits,,
R20,R20,R20,Sorbolene 1litre,,
R22,R22,R22,Mixed Sorbolene Container,,
R23,R23,R23,Grove Nets,,
R24,R24,R24,Knighting Mats,,
R25,R25,R25,Glass Tea Light Candle Holders,,
R26,R26,R26,Med.Yellow Tub - Warm Sorbolene,,
R27,R27,R27,Small Yellow Tub - Warm Sorbolene,,
R35,R35,R35,Purple Pedestal Cover,,
R36,R36,R36,Big Crystal Ball,,
R37,R37,R37,RSQ Ritual Supples,,
R38,R38,R38,Opaque Plastic Foot Baths,,
R39,R39,R39,Stainless Steel Jugs,,
R40,R40,R40,Stainless Steel Buckets,,
R41,R41,R41,Glass Tee light Candle holders,,
R42,R42,R42,Glass Tee light Candle holders,,
R43,R43,R43,Challice Stainless Steel,,
R44,R44,R44,RSQ Participant Oracle/Crystal Ball,,
R45,R45,R45,TANTRA Ritual Supplies,,
SWEAT,SWEAT,SWEAT,SWEAT,,
TOPSHED,TOP SHED,TOPSHED,TOP SHED,,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,
WASHROOM,WASH ROOM,WASHROOM,WASH ROOM,,
WHITESHELVES,WHITE SHELVES,WHITESHELVES,WHITE SHELVES,,
Z1,Z1,Z1,Tissues,,
Z2,Z2,Z2,Laundry Bags & Face Washers,,
Z3,Z3,Z3,Cleaning Supplies,,
Z4,Z4,Z4,"Sarongs, Tampons, Pads",,
Z5,Z5,Z5,Mattress Ropes,,
Z6,Z6,Z6,Fitted Sheets,,
Z7,Z7,Z7,Fitted Sheets,,
Z8,Z8,Z8,Fitted Sheets,,
Z9,Z9,Z9,Towels,,
Z10,Z10,Z10,Towels,,
Z11,Z11,Z11,Towels,,
Z12,Z12,Z12,Blind Folds,,
Z13,Z13,Z13,Props Box 1,,
Z14,Z14,Z14,Props Box 2,,
Z15,Z15,Z15,Flip Chart Paper ,,
Z16 ,Z16 ,Z16 ,Space Carpet Rolls,,
Z17,Z17,Z17,Tools,,
Z18,Z18,Z18,3x Black Curtains,,
Z19,Z19,Z19,Black Curtain Main Entry,,
Z20,Z20,Z20,White Extension Leads,,
Z21,Z21,Z21,Torches,,
Z22,Z22,Z22,Black Sheets,,
Z23,Z23,Z23,Ponchos / Raincoats,,
Z24,Z24,Z24,Blankets,,
Z25,Z25,Z25,Vacuum Cleaner,,
Z26,Z26,Z26,Black Baggage Bags (Prop),,
Z27,Z27,Z27,Blue Director's Chairs,,
Z28,Z28,Z28,Assorted Ropes,,
Z29,Z29,Z29,Timber Cradle,,
Z30,Z30,Z30,Rubbish Bins,,
Z31,Z31,Z31,Participant Bedding,,
Z32,Z32,Z32,Real Confidence Box,,
Z40,Z40,Z40,Golden Balls,,
Z41,Z41,Z41,Red & White Ropes,,
Z42,Z42,Z42,Leather Gloves (Pairs),,
Z43,Z43,Z43,Skit Box,,
Z44,Z44,Z44,Plastic Swords,,
Z45,Z45,Z45,Gauntlet Carpet,,
Z46,Z46,Z46,Tunnel Of Turbulence,,
Z47,Z47,Z47,Black Sheets,,
Z48,Z48,Z48,Black Sheets,,
Z49,Z49,Z49,"Birthing Canals (Beige colour,",,
Z50,Z50,Z50,Mattresses,,
Z51,Z51,Z51,Candalabra stands - Black,,
Z52,Z52,Z52,Birthing Tarp Cleaning Kit,,
Z53,Z53,Z53,Arrows,,
Z54,Z54,Z54,Foam Balls,,
Z55,Z55,Z55,Foam Balls,,
Z57,Z57,Z57,Sorbolene ,,
Z58,Z58,Z58,Candles,,
Z65,Z65,Z65,Black Ropes Circles,,
Z66,Z66,Z66,Mirrors - Medium,,
Z67,Z67,Z67,Mirrors - Medium,,
Z68,Z68,Z68,Mirrors - Medium,,
Z70,Z70,Z70,Cooling Fans ,,
Z71,Z71,Z71,White Cabinet - Crew Entry,,
Z78,Z78,Z78,Zone 1,,
Z79,Z79,Z79,Zone 2,,
Z80,Z80,Z80,Zone 3,,
Z81,Z81,Z81,Matresses_Container Shelves,,
